trade,kind,id,context,english,hebrew_draft,arabic_draft,hebrew_yours,arabic_yours
Electrical,checklist title,sf.el.loto,must be done before work,Isolation and lockout before work,ניתוק ונעילה לפני תחילת עבודה,العزل والإقفال قبل بدء العمل,,
Electrical,safety check,sf.el.loto.1,CRITICAL — blocks sign-off,Circuit identified on the board and its feed traced,המעגל זוהה בלוח ומקור ההזנה אותר,تم تحديد الدائرة في اللوحة وتتبّع مصدر التغذية,,
Electrical,safety check,sf.el.loto.2,CRITICAL — blocks sign-off,Supply switched off and locked with a personal padlock,ההזנה נותקה וננעלה במנעול אישי,تم فصل التغذية وإقفالها بقفل شخصي,,
Electrical,safety check,sf.el.loto.3,CRITICAL — blocks sign-off,"Warning tag fitted with name, date and contact number","תווית אזהרה עם שם, תאריך ומספר טלפון הוצמדה",تم تثبيت بطاقة تحذير باسم وتاريخ ورقم هاتف,,
Electrical,safety check,sf.el.loto.4,CRITICAL — blocks sign-off,Voltage tester proved on a known live source before and after testing,בודק המתח נבדק על מקור חי ידוע לפני הבדיקה ואחריה,تم فحص كاشف الجهد على مصدر حي معروف قبل الفحص وبعده,,
Electrical,safety check,sf.el.loto.5,CRITICAL — blocks sign-off,Absence of voltage proved at the point of work on every conductor,היעדר מתח הוכח בנקודת העבודה בכל מוליך,تم إثبات انعدام الجهد في نقطة العمل على كل موصل,,
Electrical,safety check,sf.el.loto.6,,Others on site told which circuit is out and for how long,העובדים באתר עודכנו איזה מעגל מנותק ולכמה זמן,أُبلغ العاملون في الموقع بالدائرة المفصولة ومدة الفصل,,
Electrical,checklist title,sf.el.ppe,must be done before work,Personal protective equipment,ציוד מגן אישי,معدات الوقاية الشخصية,,
Electrical,safety check,sf.el.ppe.1,CRITICAL — blocks sign-off,Insulating gloves inspected for holes and in date,כפפות מבודדות נבדקו לחורים ובתוקף,تم فحص القفازات العازلة من الثقوب وصلاحيتها سارية,,
Electrical,safety check,sf.el.ppe.2,CRITICAL — blocks sign-off,Face and eye protection worn for board work,מגן פנים ועיניים נלבש לעבודה בלוח,واقي الوجه والعينين مُرتدى للعمل في اللوحة,,
Electrical,safety check,sf.el.ppe.3,,"No metal watch, ring or chain worn","אין שעון, טבעת או שרשרת ממתכת",لا ساعة أو خاتم أو سلسلة معدنية,,
Electrical,safety check,sf.el.ppe.4,,Hand tools carry a valid 1000 V insulation rating,כלי היד מדורגים לבידוד 1000 וולט בתוקף,الأدوات اليدوية مصنّفة لعزل 1000 فولت وسارية,,
Electrical,checklist title,sf.el.handover,,Testing before energising and handover,בדיקות לפני הפעלה ומסירה,الفحوص قبل التشغيل والتسليم,,
Electrical,safety check,sf.el.hand.1,CRITICAL — blocks sign-off,Earth continuity measured and recorded on every circuit,רציפות הארקה נמדדה ותועדה בכל מעגל,تم قياس وتوثيق استمرارية التأريض في كل دائرة,,
Electrical,safety check,sf.el.hand.2,CRITICAL — blocks sign-off,Insulation resistance tested and the reading recorded,התנגדות הבידוד נבדקה והתוצאה תועדה,تم فحص مقاومة العزل وتوثيق القراءة,,
Electrical,safety check,sf.el.hand.3,CRITICAL — blocks sign-off,RCD test button and trip time verified,לחצן הבדיקה של מפסק הפחת וזמן הניתוק נבדקו,تم فحص زر اختبار قاطع التسرّب وزمن الفصل,,
Electrical,safety check,sf.el.hand.4,,Board legend written in the client's language,מקרא הלוח נכתב בשפת הלקוח,تمت كتابة دليل اللوحة بلغة الزبون,,
Electrical,safety check,sf.el.hand.5,,Test certificate signed by a licensed electrician,תעודת הבדיקה נחתמה בידי חשמלאי בעל רישיון,شهادة الفحص موقّعة من كهربائي مرخّص,,
Electrical,template name,tpl.el.apartment_wiring,,Apartment electrical first fix,חשמל דירה — שלב ראשון,كهرباء شقة — المرحلة الأولى,,
Electrical,template description,tpl.el.apartment_wiring,,"Chasing, conduit, boxes and cable pulling for a 4-room apartment.","חריצה, צנרת, קופסאות ומשיכת כבלים לדירת 4 חדרים.",تخديد وتمديد وعلب وسحب كابلات لشقة من 4 غرف.,,
