trade,id,kind,category,english,hebrew_draft,arabic_draft,hebrew_yours,arabic_yours,image_note
Electrical,el.cable.nyy.3x1_5,MATERIAL,cables,NYY cable 3×1.5 mm²,כבל NYY ‎3×1.5 ממ״ר,كابل NYY ‏3×1.5 ملم²,,,
Electrical,el.cable.nyy.3x2_5,MATERIAL,cables,NYY cable 3×2.5 mm²,כבל NYY ‎3×2.5 ממ״ר,كابل NYY ‏3×2.5 ملم²,,,
Electrical,el.cable.nyy.5x1_5,MATERIAL,cables,NYY cable 5×1.5 mm²,כבל NYY ‎5×1.5 ממ״ר,كابل NYY ‏5×1.5 ملم²,,,
Electrical,el.cable.nyy.5x4,MATERIAL,cables,NYY cable 5×4 mm²,כבל NYY ‎5×4 ממ״ר,كابل NYY ‏5×4 ملم²,,,
Electrical,el.cable.nyy.3x6,MATERIAL,cables,NYY cable 3×6 mm²,כבל NYY ‎3×6 ממ״ר,كابل NYY ‏3×6 ملم²,,,
Electrical,el.wire.h07vu.1_5,MATERIAL,wires,Single insulated wire 1.5 mm²,חוט מבודד חד־גידי 1.5 ממ״ר,سلك مفرد معزول 1.5 ملم²,,,
Electrical,el.conduit.flex.16,MATERIAL,conduit,Corrugated conduit 16 mm,צינור שרשורי 16 מ״מ,خرطوم مموج 16 ملم,,,
Electrical,el.conduit.flex.23,MATERIAL,conduit,Corrugated conduit 23 mm,צינור שרשורי 23 מ״מ,خرطوم مموج 23 ملم,,,
Electrical,el.conduit.rigid.pvc.25,MATERIAL,conduit,Rigid PVC conduit 25 mm,צינור PVC קשיח 25 מ״מ,أنبوب PVC صلب 25 ملم,,,
Electrical,el.trunking.pvc.20x10,MATERIAL,conduit,PVC trunking 20×10 mm,תעלת PVC ‎20×10 מ״מ,مجرى PVC ‏20×10 ملم,,,
Electrical,el.mcb.c16.1p,MATERIAL,protection,MCB 1P C16,מא״ז חד־פאזי C16,قاطع مصغّر أحادي C16,,,
Electrical,el.mcb.c25.3p,MATERIAL,protection,MCB 3P C25,מא״ז תלת־פאזי C25,قاطع مصغّر ثلاثي C25,,,
Electrical,el.rcd.40a.30ma,MATERIAL,protection,RCD 40 A / 30 mA,מפסק פחת 40 אמפר / 30 מ״א,قاطع تسرّب أرضي 40 أمبير / 30 مللي أمبير,,,
Electrical,el.board.din.12,MATERIAL,distribution-boards,"Distribution board, 12 modules",לוח חשמל 12 מקומות,لوحة توزيع 12 وحدة,,,
Electrical,el.board.din.24,MATERIAL,distribution-boards,"Distribution board, 24 modules",לוח חשמל 24 מקומות,لوحة توزيع 24 وحدة,,,
Electrical,el.socket.schuko,MATERIAL,accessories,"Socket outlet, earthed",שקע מוארק,مقبس مؤرّض,,,
Electrical,el.socket.ip44,MATERIAL,accessories,Weatherproof socket IP44,שקע מוגן מים IP44,مقبس مقاوم للماء IP44,,,
Electrical,el.switch.1way,MATERIAL,accessories,"Light switch, single",מפסק תאורה חד־קוטבי,مفتاح إنارة مفرد,,,
Electrical,el.switch.2way,MATERIAL,accessories,Two-way switch,מפסק מחליף,مفتاح مبادل,,,
Electrical,el.junction.box.round,MATERIAL,accessories,Round junction box,קופסת הסתעפות עגולה,علبة تفريعات دائرية,,,
Electrical,el.connector.leverlock,MATERIAL,accessories,Lever wire connector,מחבר מהיר עם ידית,وصلة أسلاك بذراع,,,
Electrical,el.earth.bar,MATERIAL,earthing,Earth busbar,פס הארקה,قضيب تأريض,,,
Electrical,el.tape.insulating,CONSUMABLE,consumables,Insulating tape,סרט בידוד,شريط عازل,,,
Electrical,el.tool.multimeter,TOOL,measuring,Multimeter,רב־מודד,مقياس متعدد (أفوميتر),,,
Electrical,el.tool.voltage_tester,TOOL,measuring,Two-pole voltage tester,בודק מתח דו־קוטבי,كاشف جهد ثنائي القطب,,,
Electrical,el.tool.insulation_tester,TOOL,measuring,Insulation resistance tester,בודק התנגדות בידוד (מגר),جهاز فحص مقاومة العزل (ميجر),,,
Electrical,el.tool.wire_stripper,TOOL,hand-tools,Wire stripper,קולפן חוטים,مقشّرة أسلاك,,,
Electrical,el.tool.side_cutter,TOOL,hand-tools,Side cutting pliers,צבת חיתוך,كماشة قطع جانبية,,,
Electrical,el.tool.fish_tape,TOOL,hand-tools,Draw wire / fish tape,חוט משיכה,سلك سحب,,,
Electrical,el.tool.hammer_drill,TOOL,power-tools,Hammer drill (SDS),פטישון SDS,مثقاب دقّاق SDS,,,
