type,id,english,hebrew_draft,arabic_draft,street_arabic,hebrew_yours,arabic_yours,street_yours
stage,civil,Civil / structural,שלב שלד,المرحلة الإنشائية / العظم,شغل العظم,,,
stage,slab,Slab conduit (העקדה),צנרת ביציקה,التأسيس داخل الصبة (العقدة),العقدة / تأسيس الصبة,,,
stage,rough-in,Rough-in / first fix,גס / שלב ראשון,التأسيس (الشغل الأسود),الشغل الأسود,,,
stage,second-fix,Finish / second fix,גמר / שלב שני,التشطيب (الشغل الأبيض),الشغل الأبيض / النظيف,,,
stage,commissioning,Testing & commissioning,בדיקות והרצה,الفحص والتشغيل,الفحص والتشغيل,,,
stage,handover,Handover & snagging,מסירה וליקויים,التسليم ومعالجة الملاحظات,التسليم والملاحظات,,,
phase,site-civil,Site preparation & civil,הכשרת אתר ועבודות עפר,تجهيز الموقع والأعمال المدنية,,,,
phase,structural,Structural (core & shell),שלד,أعمال العظم والهيكل الإنشائي,,,,
phase,electrical,Electrical trades,עבודות חשמל,أعمال الحرفة الكهربائية,,,,
phase,plumbing,Plumbing & drainage,אינסטלציה וניקוז,أعمال السباكة والصرف الصحي,,,,
phase,hvac,HVAC & ventilation,מיזוג אוויר ואוורור,أعمال التكييف والتهوية,,,,
phase,waterproofing,Waterproofing & insulation,איטום ובידוד,أعمال العزل المائي والحراري,,,,
phase,finishing,Architectural finishing,גמר אדריכלי,أعمال التشطيبات المعمارية والداخلية,,,,
phase,openings,"Doors, windows & fit-out",פתחים ונגרות,النجارة والألومنيوم والزجاج,,,,
phase,specialist,Specialist systems & utilities,מערכות מיוחדות ותשתיות,الأنظمة الخاصة وشبكات البنية التحتية,,,,
scope,demolition,Demolition,הריסה,أعمال الهدم,الهدد / الإزالة,,,
scope,earthworks,Excavation & Earthworks,חפירה ועבודות עפר,أعمال الحفر والردم,الحفر والدك,,,
scope,shoring,Shoring & Dewatering,דיפון וניקוז מי תהום,أعمال السند ونزح المياه,تدعيم الجوانب وسحب الموية,,,
scope,piling,Piling & Deep Foundations,כלונסאות וביסוס עמוק,أعمال الخوازيق والأساسات العميقة,الخوازيق / الجسات,,,
