key,where_it_appears,english,hebrew_draft,arabic_draft,hebrew_yours,arabic_yours
app_name,Launcher and store title,Trades Work Manager,מנהל עבודות,مدير أعمال المهن,,
action_ok,,OK,אישור,موافق,,
action_cancel,,Cancel,ביטול,إلغاء,,
action_save,,Save,שמירה,حفظ,,
action_delete,,Delete,מחיקה,حذف,,
action_edit,,Edit,עריכה,تعديل,,
action_add,,Add,הוספה,إضافة,,
action_close,,Close,סגירה,إغلاق,,
action_back,,Back,חזרה,رجوع,,
action_continue,,Continue,המשך,متابعة,,
action_search,,Search,חיפוש,بحث,,
action_filter,,Filter,סינון,تصفية,,
error_required,,This field is required,שדה חובה,هذا الحقل مطلوب,,
onboarding_welcome_title,,Set the app up for your trade,התאמת האפליקציה לתחום שלך,إعداد التطبيق لمهنتك,,
onboarding_welcome_body,,"Everything works offline. Pick a language and your trades, and your tool and material lists are ready.","הכול עובד ללא אינטרנט. בוחרים שפה ותחומי עבודה, ורשימות הכלים והחומרים מוכנות.",كل شيء يعمل دون إنترنت. اختر لغة ومهنك، وتكون قوائم الأدوات والمواد جاهزة.,,
onboarding_language_title,,Language,שפה,اللغة,,
onboarding_trade_title,,Your trades,תחומי העבודה שלך,مهنك,,
onboarding_trade_body,,Choose one or more. You can change this later in Settings.,אפשר לבחור יותר מאחד. תמיד אפשר לשנות בהגדרות.,يمكنك اختيار أكثر من مهنة. يمكن تغيير ذلك لاحقًا في الإعدادات.,,
onboarding_seeding,,Preparing your catalogues…,מכין את הקטלוגים שלך…,جارٍ تجهيز الكتالوجات…,,
onboarding_select_one,,Select at least one trade,יש לבחור תחום אחד לפחות,اختر مهنة واحدة على الأقل,,
nav_home,,Home,בית,الرئيسية,,
nav_inventory,,Stock,מלאי,المخزون,,
nav_projects,,Projects,פרויקטים,المشاريع,,
nav_schedule,,Schedule,לוח זמנים,الجدول,,
nav_safety,,Safety,בטיחות,السلامة,,
home_today,,Today,היום,اليوم,,
home_low_stock,,Running low,מלאי נמוך,المخزون منخفض,,
home_active_projects,,Active projects,פרויקטים פעילים,مشاريع نشطة,,
home_safety_due,,Safety sign-off due,נדרש אישור בטיחות,مطلوب توقيع سلامة,,
home_no_tasks_today,,Nothing scheduled for today,אין משימות מתוכננות להיום,لا توجد مهام مجدولة اليوم,,
inv_title,,Inventory,מלאי,المخزون,,
inv_search_hint,,"Search name, spec or tag","חיפוש לפי שם, מפרט או תגית",ابحث بالاسم أو المواصفة أو الوسم,,
inv_add_item,,New item,פריט חדש,صنف جديد,,
inv_edit_item,,Edit item,עריכת פריט,تعديل الصنف,,
inv_name,,Name,שם,الاسم,,
inv_category,,Category,קטגוריה,الفئة,,
